City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1265025,Lātehār,IN,23.75,84.5,87.06,22,0,4.99
2278158,Buchanan,LR,5.88,-10.05,89.6,70,75,14.99
2016307,Solnechnyy,RU,50.72,136.63,38.44,79,81,9.48
1106643,Quatre Cocos,MU,-20.21,57.76,76.48,78,20,6.6
2347059,Birnin Kebbi,NG,12.45,4.2,106.74,19,15,4.0
6049515,Lanigan,CA,51.85,-105.03,53.13,56,0,9.31
3663503,Manicoré,BR,-5.81,-61.3,84.34,78,49,3.6
612652,Ochamchira,GE,42.71,41.47,70.74,64,99,7.96
585514,Yevlax,AZ,40.61,47.15,89.6,27,0,3.36
4993659,Garden City,US,42.33,-83.33,62.04,63,90,8.05
536518,Lebedyan',RU,53.02,39.17,59.0,33,40,11.18
1185210,Gaurnadi,BD,22.97,90.23,85.78,67,30,9.22
2191562,Dunedin,NZ,-45.87,170.5,46.63,77,0,3.83
2088122,Port Moresby,PG,-9.44,147.18,78.8,78,20,21.92
712160,Sadove,UA,46.25,30.18,64.4,45,75,13.42
3408166,Águas Belas,BR,-9.11,-37.12,83.57,52,5,8.72
1491360,Sorsk,RU,54.0,90.25,52.74,79,58,3.33
2181625,Te Anau,NZ,-45.42,167.72,39.58,80,0,1.07
1624494,Brebes,ID,-6.87,109.04,81.0,83,0,5.3
4031742,Egvekinot,RU,66.32,-179.17,23.56,96,2,14.9
6096551,Pangnirtung,CA,66.15,-65.71,32.0,81,5,8.05
1268008,Kanniyākumāri,IN,8.08,77.57,84.72,80,100,21.7
1733023,Kuala Lipis,MY,4.18,102.05,76.98,95,98,1.39
1849892,Tottori-shi,JP,35.5,134.23,63.99,90,100,0.85
3573374,The Valley,AI,18.22,-63.06,81.34,66,6,11.01
1650434,Bambanglipuro,ID,-7.95,110.28,79.92,83,84,14.58
2015545,Tarbagatay,RU,51.48,107.36,50.0,43,20,6.71
2020121,Mayya,RU,61.73,130.28,50.0,53,0,6.71
6255012,Flinders,AU,-34.58,150.86,53.87,85,15,1.01
6943832,Riviere-au-Renard,CA,49.0,-64.4,53.6,37,20,4.7
146214,Paphos,CY,34.77,32.42,86.68,65,0,4.7
1735106,George Town,MY,5.41,100.34,82.2,94,20,12.75
3469601,Bocaiúva,BR,-17.11,-43.81,76.82,72,68,2.82
3406263,Barras,BR,-4.24,-42.29,84.99,78,45,2.75
5983720,Iqaluit,CA,63.75,-68.51,32.0,94,20,6.93
3870243,Taltal,CL,-25.4,-70.48,67.41,55,19,6.08
5435464,Pueblo,US,38.25,-104.61,58.24,71,90,4.7
4957320,Bar Harbor,US,44.39,-68.2,47.62,100,90,11.41
935255,Sainte-Marie,RE,-20.9,55.55,70.16,78,90,2.24
5866063,Kenai,US,60.55,-151.26,43.45,81,1,13.87
5380437,Pacific Grove,US,36.62,-121.92,55.74,66,1,6.93
3674676,Mitú,CO,1.2,-70.17,76.48,93,98,1.72
6148373,Sioux Lookout,CA,50.1,-91.92,46.4,70,75,4.7
2022083,Alekseyevsk,RU,57.84,108.35,38.75,74,4,1.59
1493162,Salym,RU,60.06,71.48,56.75,56,36,3.53
1850345,Toba,JP,34.48,136.85,62.01,98,100,1.99
2562247,Marsaxlokk,MT,35.84,14.54,81.73,39,100,13.87
1863997,Fukuechō,JP,32.69,128.84,67.69,87,24,8.61
457714,Madona,LV,56.85,26.22,48.22,76,82,13.58
5710035,West Wendover,US,40.74,-114.07,51.8,43,1,1.14
1071296,Antalaha,MG,-14.9,50.28,77.09,82,0,7.14
6050066,La Ronge,CA,55.1,-105.28,44.6,45,40,5.82
3645213,Coro,VE,11.4,-69.67,87.78,57,70,15.28
